objid,ra,dec
1237668293376278947,177.13807126,19.50087458
1237657628454551760,181.50870745,51.70820366
1237661851470987435,190.13451993,45.15078724
1237664837000102360,126.87013539,22.54832359
1237659162277970381,247.47735296,35.47763627
1237658613056209114,174.4169034,49.60987251
1237653651300483269,5.6704931,14.51956418
1237657628448325814,159.68160251,48.82159926
1237657628448325815,159.67786618,48.82229926
1237667292650864925,135.34321181,18.24231706
1237671764250198244,191.21397654,1.11194235
1237671764250198245,191.21255567,1.11221232
1237667322182238495,182.34869619,26.67964797
1237668624086990982,186.82807872,17.43107791
1237656241700274676,339.63047786,13.33218378
1237671124827767695,120.0543791,8.20232839
1237658205582000261,173.30487155,50.14447283
1237657591398203632,189.40081908,55.56191163
1237662701873267520,260.90067031,34.19946226
1237667735569170636,152.24905238,19.62151914
1237667735569170635,152.24690552,19.62098631
1237657589782020349,167.76534305,53.1485846
1237657589782020350,167.76377444,53.14773485
1237667431181451446,174.53730179,27.90853304
1237667912736178230,173.52810276,25.55977343
1237667142864929126,135.01101804,22.56801948
1237668332564906375,220.45485031,14.68907393
1237670956252332233,26.73335927,-9.49791343
1237659133285892353,227.8280852,47.22785397
1237660634386530472,162.42974346,44.34321433
1237667550346543361,168.29435777,23.94430975
1237661871336587489,205.88688584,41.91763434
1237671124832224451,130.08769491,10.8701767
1237658204494102920,132.86042168,35.97050258
1237667485920133704,140.35725774,18.17148349
1237658302740300022,153.7740283,55.50506295
1237664338784747766,162.34745422,35.74471364
1237652947453739506,4.25639744,-10.15304558
1237658422475424249,149.41329645,5.15886638
1237657630065295505,181.89964024,52.91644677
1237662225682989593,199.54795196,39.70749431
1237667734509584861,186.71535645,21.8737341
1237662263787323856,231.93759795,6.87607015
1237664669506404608,148.16758538,34.57946326
1237661852018671656,222.62769677,39.13864083
1237661958830686213,198.41660114,51.85791103
1237654390562488578,114.36855028,32.27182166
1237668270824816739,202.57769724,18.17559345
1237652900229218318,41.64207784,-8.42671364
1237657774996455813,115.96924512,24.96212618
1237651497367371968,116.72101207,44.06428775
1237664092895052186,121.59876735,20.10886634
1237663547439579347,124.99923989,53.94005067
1237671123219251319,125.06712571,8.20443667
1237658423539859822,128.07082538,4.06811273
1237654381440073922,135.89559167,50.47203557
1237667782814269550,136.01731399,15.21515107
1237673708259508232,141.23253393,2.32368372
1237667783355793644,146.51997322,18.59436046
1237657591387848789,150.36921636,50.46579603
1237660634382663744,151.14551469,41.21188738
1237657630057824393,155.29593154,49.22509081
1237667210518659208,157.30809548,26.38832284
1237667210521214984,163.67016598,27.551787
1237661358611890302,163.93939288,46.47763899
1237667911124975631,172.07704817,24.03819957
1237668293374574736,172.99052039,19.25769971
1237654030866710722,174.5155742,3.24939119
1237654398081171702,178.82229756,63.77279904
1237662196136083468,181.62353657,43.53821409
1237665129080553572,184.19186249,35.49486059
1237648721233576010,186.5334332,-0.10062609
1237667254018769025,192.78156236,29.59458414
1237667735586078852,193.57894949,22.5934873
1237668589727056014,194.58012921,16.95493165
1237668272432742430,196.18160219,20.01782742
1237668624092561481,200.24656277,16.73405051
1237671956977549538,200.65174363,10.87761813
1237671955907084392,203.09432807,3.79440534
1237665128013824063,203.50582376,33.25953478
1237651752410153013,203.89497345,1.30154603
1237664289399963687,204.77974286,13.17768457
1237661818177192023,207.37434972,12.451937
1237662199348920346,208.27644349,11.63464758
1237665127479443604,210.0532059,31.58170647
1237662264852021499,211.31425939,9.99203061
1237651249893802134,211.60348097,61.44471651
1237668270833860808,223.75803799,14.79299141
1237668311624515683,228.91080516,15.19331509
1237659119328493761,231.19009161,44.16375011
1237651736316542980,231.83387841,1.69433526
1237662637445808223,232.41209875,10.63441953
1237668366927004166,245.10891775,12.06168144
1237654953742237791,252.681011,42.86370367
1237656906353213625,355.79975138,-0.84287165
